Station,Name,Latitude,Longitude,Trips Started,Trips Ended,Total Trips
10,Métro Angrignon (Lamont /  des Trinitaires),45.44691,-73.60363,4226.0,4591,8818.0
13,Métro de l'Église (Ross / de l'Église),45.462726,-73.565959,7719.0,8552,16273.0
17,Tolhurst / Fleury,45.544149,-73.66752,2501.0,2710,5214.0
21,St-Christophe / Cherrier,45.52029,-73.568119,5622.0,3585,9211.0
31,Lespérance / de Rouen,45.538839,-73.552779,3383.0,4059,7447.0
38,Métro Vendôme (de Marlowe / de Maisonneuve),45.473868,-73.604538,16292.0,16289,32588.0
43,Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),45.50367,-73.61848,15466.0,11258,26732.0
47,Métro Guy-Concordia (Guy / St-Catherine),45.495045,-73.57783,22618.0,20672,43299.0
65,Bel Air / St-Antoine,45.482778,-73.584621,2021.0,2608,4640.0
75,St-Joseph / 8e avenue Lachine,45.43155,-73.67112,2477.0,2560,5049.0
76,St-Joseph / 34e avenue Lachine,45.433251,-73.693962,2128.0,2106,4247.0
78,8e avenue / Notre-Dame Lachine,45.434898,-73.670819,516.0,552,1082.0
79,Victoria / 18e avenue Lachine,45.435996,-73.680111,713.0,796,1524.0
86,Parc Pratt (Dunlop / Van Horne),45.515007,-73.619788,3865.0,3578,7459.0
92,Métro Rosemont (de St-Vallier / Rosemont),45.531783,-73.597793,12072.0,10004,22093.0
99,7e avenue / St-Joseph Rosemont,45.547108,-73.569367,7087.0,6274,13379.0
100,16e avenue / St-Joseph,45.55287,-73.565631,6466.0,6255,12740.0
111,Hutchison / Sherbrooke,45.507717,-73.57167,12182.0,10700,22902.0
122,Lajeunesse / Jarry,45.543771,-73.628509,5862.0,5875,11759.0
125,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),45.559872,-73.615541,3063.0,3108,6194.0
135,St-Alexandre / Ste-Catherine,45.505359,-73.567741,11186.0,11963,23174.0
137,Jeanne-d'Arc / Ontario,45.549598,-73.541874,8145.0,10289,18460.0
138,de la Salle / Ste-Catherine,45.549963,-73.534434,2594.0,3393,6014.0
139,d'Orléans / Hochelaga,45.550768,-73.549427,5450.0,6392,11870.0
140,Bennett / Ste-Catherine,45.553053,-73.532427,2901.0,3652,6582.0
141,Marché Maisonneuve,45.553219,-73.539782,8288.0,10331,18649.0
142,Ontario / Sicard,45.556262,-73.537441,5995.0,6671,12697.0
143,de Ville-Marie / Ste-Catherine,45.557921,-73.529147,5219.0,6079,11330.0
144,Ontario / Viau,45.559482,-73.535496,6050.0,6992,13075.0
145,Gauthier / Papineau,45.529666,-73.567336,15751.0,14429,30214.0
146,Gauthier / de Lorimier,45.531674,-73.565413,4714.0,4296,9045.0
147,Gauthier / Parthenais,45.532926,-73.56378,6376.0,5613,12025.0
148,de Bordeaux / Marie-Anne,45.533409,-73.570657,8773.0,8701,17511.0
149,des Érables / Rachel,45.533547,-73.566867,11066.0,9932,21036.0
150,Fullum / Sherbrooke,45.533924,-73.562425,5698.0,3834,9571.0
151,Chapleau / Terrasse Mercure,45.536738,-73.565167,9091.0,8435,17566.0
152,Bercy / Rachel,45.538403,-73.561964,6383.0,6333,12757.0
153,Ste-Catherine / Dezery,45.539385,-73.541,8035.0,9455,17532.0
154,Dézéry / Ontario,45.54111,-73.54755,10339.0,12668,23050.0
155,Métro Préfontaine (Moreau / Hochelaga),45.54178,-73.555714,7940.0,9787,17771.0
156,Valois / Ste-Catherine,45.54523,-73.53725,6286.0,7605,13936.0
157,St-Germain / Hochelaga,45.543699,-73.553673,4211.0,4756,9013.0
158,Aylwin / Ontario,45.544284,-73.54534,12703.0,15357,28107.0
159,Métro Joliette  (Joliette / Hochelaga),45.546907,-73.551557,11067.0,13312,24427.0
160,Valois / Ontario,45.547405,-73.544674,14213.0,16875,31137.0
161,Nicolet / Sherbrooke,45.549695,-73.554647,5000.0,3984,9034.0
162,Métro Assomption (Chauveau / de l'Assomption),45.569789,-73.548081,3769.0,4214,8034.0
164,Métro Cadillac (de Cadillac / Sherbrooke),45.576963,-73.546836,4346.0,4410,8808.0
165,Pierre-de-Coubertin / Langelier,45.580315,-73.535314,1641.0,1803,3497.0
166,Métro Langelier (Langelier / Sherbrooke),45.582847,-73.542476,3320.0,3568,6942.0
167,Boyer / du Mont-Royal,45.527432,-73.579917,29795.0,29426,59276.0
168,Calixa-Lavallée / Rachel,45.527795,-73.571939,18343.0,14789,33188.0
169,de Brébeuf / du Mont-Royal,45.529408,-73.578154,24593.0,24070,48720.0
170,de Lanaudière / Marie-Anne,45.529326,-73.574806,8644.0,8020,16722.0
171,Marquette / Rachel,45.529802,-73.57029,17207.0,16300,33566.0
172,Garnier / du Mont-Royal,45.53092,-73.57674,439.0,414,913.0
173,Marquette / du Mont-Royal,45.53229,-73.57544,33877.0,33837,67775.0
174,Cartier / Marie-Anne,45.532674,-73.571776,4568.0,4092,8722.0
175,Chabot / du Mont-Royal,45.534185,-73.573589,18600.0,18511,37174.0
176,Cartier / St-Joseph,45.535828,-73.57869,6404.0,5745,12213.0
177,de Bordeaux / Gilford,45.53611,-73.576287,8360.0,7654,16079.0
179,Messier / du Mont-Royal,45.537114,-73.571003,13768.0,13446,27280.0
180,Laurier / de Bordeaux,45.537205,-73.579254,6540.0,6139,12746.0
181,Cartier / Masson,45.538021,-73.583524,9538.0,9391,18997.0
182,Chapleau / du Mont-Royal,45.53867,-73.56936,6823.0,6067,12959.0
183,de Bordeaux / Masson,45.538984,-73.582445,7786.0,7584,15440.0
184,Fullum / Gilford,45.539224,-73.573837,5620.0,5060,10751.0
185,Parc des Rapides (LaSalle / 6e avenue),45.429471,-73.593099,4488.0,4609,9169.0
186,LaSalle / Crawford,45.437914,-73.58274,2744.0,2907,5724.0
187,Natatorium (LaSalle / Rolland),45.444547,-73.575091,4540.0,4882,9496.0
188,Bibliothèque de Verdun (Brown / Bannantyne),45.448262,-73.577856,2922.0,3114,6111.0
189,Beatty / de Verdun,45.45073,-73.572575,3907.0,3981,7964.0
190,Métro Monk (Allard / Beaulieu),45.450851,-73.594027,5263.0,5409,10749.0
191,Argyle / Bannantyne,45.453319,-73.576775,2833.0,2965,5876.0
192,Argyle / de Verdun,45.453016,-73.571915,5118.0,5268,10465.0
193,Hamilton / Jolicoeur,45.456355,-73.597557,4342.0,4569,8991.0
194,5e avenue / Bannantyne,45.456365,-73.57614,3732.0,3966,7779.0
196,4e avenue / de Verdun,45.456885,-73.572607,4967.0,5068,10117.0
197,Dubois / Eadie,45.457597,-73.590529,3504.0,3799,7386.0
198,2e avenue / Wellington,45.457893,-73.567528,5938.0,6349,12371.0
199,Métro Verdun (Willibrord / de Verdun),45.459488,-73.572092,9473.0,10186,19744.0
200,Gordon / Wellington,45.461078,-73.567307,6872.0,7478,14436.0
201,Parc St-Paul (Le Caron / Marc-Sauvalle),45.461685,-73.584039,5459.0,5588,11134.0
202,St-Patrick / Briand,45.463397,-73.596436,4781.0,5084,9953.0
203,de l'Église / de Verdun,45.463001,-73.571569,5336.0,5689,11114.0
